age,gender,height_cm,weight_kg,body fat_%,diastolic,systolic,gripForce,sit and bend forward_cm,sit-ups counts,broad jump_cm,class
27.0,M,172.3,75.24,21.3,80.0,130.0,54.9,18.4,60.0,217.0,C
25.0,M,165.0,55.8,15.7,77.0,126.0,36.4,16.3,53.0,229.0,A
31.0,M,179.6,78.0,20.1,92.0,152.0,44.8,12.0,49.0,181.0,C
32.0,M,174.5,71.1,18.4,76.0,147.0,41.4,15.2,53.0,219.0,B
28.0,M,173.8,67.7,17.1,70.0,127.0,43.5,27.1,45.0,217.0,B
36.0,F,165.4,55.4,22.0,64.0,119.0,23.8,21.0,27.0,153.0,B
42.0,F,164.5,63.7,32.2,72.0,135.0,22.7,0.8,18.0,146.0,D
33.0,M,174.9,77.2,36.9,84.0,137.0,45.9,12.3,42.0,234.0,B
54.0,M,166.8,67.5,27.6,85.0,165.0,40.4,18.6,34.0,148.0,C
28.0,M,185.0,84.6,14.4,81.0,156.0,57.9,12.1,55.0,213.0,B
42.0,M,169.2,65.4,19.3,63.0,110.0,43.5,16.0,68.0,211.0,A
57.0,F,153.0,49.0,20.9,69.0,106.0,21.5,30.0,0.0,90.0,D
27.0,F,156.0,53.9,35.5,69.0,116.0,23.1,13.1,28.0,144.0,C
22.0,M,175.7,67.9,11.3,71.0,103.0,52.5,19.2,55.0,232.0,C
24.0,M,181.0,84.4,20.4,80.0,120.0,48.9,7.2,54.0,213.0,C
45.0,F,159.0,63.1,30.9,93.0,144.0,34.1,19.0,30.0,155.0,A
25.0,F,164.2,66.6,30.2,82.0,120.0,25.7,22.9,39.0,178.0,C
26.0,M,179.9,71.5,9.7,64.0,135.0,59.6,17.8,61.0,239.0,A
26.0,M,169.2,70.6,21.0,63.0,129.0,41.3,15.1,53.0,225.0,B
